polygonid,elevation
4107,
4108,
4108,
4108,
4108,
4108,
4109,
4109,
4109,
4109,
4109,
4110,62.0
4110,61.0
4110,62.0
4110,62.0
4110,61.0
4111,
4111,
4111,
4111,
4111,
4112,
4112,
4112,
4112,
4112,
4113,
4113,
4113,
4113,
4113,
4114,
4114,
4114,
4114,
4114,
4115,
4115,
4115,
4115,
4115,
4116,
4116,
4116,
4116,
4116,
4117,
4117,
4117,
4117,
4117,
4118,
4118,58.0
4118,
4118,
4118,
4119,56.0
4119,
4119,56.0
4119,
4119,
4120,
4120,
4120,
4120,
4120,
4121,
4121,
4121,
4121,
4121,
4122,
4122,
4122,
4122,
4122,
4123,
4123,
4123,
4123,
4123,
4124,
4124,
4124,
4124,
4124,
4125,
4125,
4125,
4125,
4125,
4126,64.0
4126,59.0
4126,63.0
4126,68.0
4126,63.0
4127,65.0
4127,62.0
4127,59.0
4127,62.0
