polygonid,elevation
9236,17
9236,15
9236,15
9236,18
9237,14
9237,16
9237,11
9237,15
9237,13
9238,9
9238,8
9238,9
9238,9
9238,8
9239,-2
9239,5
9239,3
9239,5
9239,4
9240,10
9240,10
9240,9
9240,11
9240,10
9241,12
9241,9
9241,10
9241,13
9241,9
9242,3
9242,3
9242,6
9242,3
9242,11
9243,3
9243,4
9243,6
9243,6
9243,6
9244,34
9244,26
9244,14
9244,14
9244,44
9245,5
9245,13
9245,7
9245,13
9245,6
9246,3
9246,6
9246,4
9246,5
9246,6
9247,4
9247,3
9247,7
9247,5
9247,4
9248,3
9248,2
9248,3
9248,2
9248,3
9249,14
9249,12
9249,12
9249,15
9249,14
9250,24
9250,21
9250,28
9250,25
9250,14
9251,8
9251,21
9251,24
9251,18
9251,21
9252,49
9252,29
9252,40
9252,31
9252,77
9253,13
9253,9
9253,9
9253,9
9253,6
9254,12
9254,57
9254,21
9254,24
9254,14
9255,7
9255,14
9255,5
9255,8
9255,16
9256,15
